"","20:3 Campesteryl ester","C20:0","C26:0","C26:1","C30:0","PE (20:4)","PG (20:0)","PG (24:0)","TAG(50:2)_FA 16:0","TAG(50:3)_FA 16:0","TAG(52:2)_FA 18:1","TAG(52:3)_FA 16:0","TAG(52:3)_FA 18:1","TAG(54:0)_FA 18:0","TAG(54:3)_FA 18:1","TAG(52:3)_FA 18:2"
"veh_N2",7489.5605049143,320922.222839357,239739.298202515,548746.260322716,58280.7041587319,12089.4407768251,2389.0601882937,2326.9601821904,2824.8802185061,1489.6001052861,2389.7201881401,1219.1800918578,1876.2201385501,2118.4201431279,1880.7801475532,1327.5600891108
"Abe_N2",16115.0012054456,305723.102050717,106130.667663582,221403.256790158,36535.8425521842,8754.340507508,1778.1401367192,2011.8001480093,2367.4801750181,1665.8001289381,1894.4401321402,1284.9800872801,1672.4801177987,3086.0802307129,2049.4201622009,1254.3400802618
"veh_N3",11985.0208816521,311682.061828618,466855.611549417,1301816.1478732,139689.430160543,4059.4402847274,1828.7801361085,2288.7601509093,2532.1401901227,1618.3401031496,2125.5001335136,1180.8400726318,1339.820091248,1492.3801155083,2140.4201431279,1152.2800827025
"Abe_N3",23215.1415786788,459297.832184004,242802.617374386,507202.795311089,84124.4460983344,6582.2004928599,4230.0602989203,4954.7003974904,2926.520225526,1469.9801101689,1627.0601196283,1410.2800941475,1332.6800956727,1518.8001022341,2138.4001464864,1470.4001121533
"veh_N4",16886.0012016298,267466.899047848,230893.635406491,570516.977493382,78823.1854095838,5160.4603424082,1839.8001480108,2671.5601997393,2337.7601737976,1526.4801025391,2405.260173799,1521.8601264943,1598.4001350401,1491.3801040644,2635.260177612,1494.0001068114
"Abe_N4",7237.9805183427,726048.371093909,166921.79079438,375646.084297187,49030.7237014835,4667.4603042588,7322.8005142221,9167.0606842027,3273.5602531435,1722.8401298517,3108.7001953125,1239.6400833128,1655.0201339722,1613.4201202409,3113.5802040092,1561.5200920105
"veh_N5",15297.5010948182,352018.225555419,255182.198318478,578324.800548836,71632.3655166643,8332.0405349703,2196.980155946,2043.6401405335,2623.0201759319,1734.1801071183,1973.9401512142,1295.5000839234,1417.6800994867,4056.200283048,2356.9801292422,1457.8001098635
"Abe_N5",5905.3204307578,375842.406738252,224302.394699122,505341.675750677,76208.7456626607,24989.8615074297,2239.220165253,3094.2602386459,2921.9601974483,1697.2401123047,1817.5001487734,1418.5601043705,2045.5801544197,4277.1403236396,2170.6401443487,1495.3201103212
"veh_N6",9566.4806900032,316052.141967767,161210.271442434,335896.284515334,63700.6641426044,11019.9206581085,4097.5402832024,6304.4604682928,3025.1802139284,1797.5801391612,2850.9402122509,2022.1401443491,1930.7001495354,1996.940151214,3279.820232393,1597.9801139831
"Abe_N6",15486.1811714144,293290.320465061,287291.939689631,700145.467742964,79558.8457603377,7551.5605621288,2331.0601692208,3210.5002670288,4704.8604125972,2088.8201332097,4689.0003471369,2276.8201560988,2980.1602325439,1943.1801300056,6757.4204330455,1788.4401130677
"veh_N7",16091.8611564613,356790.764526389,158352.550960515,317046.401580829,56760.4042892172,11342.2206420926,1992.400146484,2367.0401725761,2353.0801811197,1264.2800865171,1812.3801193251,1377.8600959772,1118.7800827031,7624.920509338,1865.820137024,1134.3200759889
"Abe_N7",36325.3024864233,450368.989685094,88169.7264861859,138055.028999309,34387.0624465934,13259.4809722963,2673.0601921081,3239.1602172869,4856.6803626991,3522.3802490227,5767.2004356382,3633.4402694709,5511.9403800981,1492.0401000982,4235.9802818293,3544.8002395635
