lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
5_D-Mannitol,1.24480865,11.70419317,351.4033215,2.10E-78,1.50E-75,183.1 -> 98,pos1,10350.8874,4357.686978,23621.28176,3793.70026,6008.080425,3795.620266,6253.540436,4236.600323,4231.940266,4210.940323,19837.94147,6248.960442,3732.520245,3860.300255,22041.30157
2_Alanine,-0.468447002,10.49451363,49.81066966,1.69E-12,6.07E-10,90 -> 72,pos1,2802.680195,3867.160247,8303.680611,3579.520264,2545.720177,2329.300167,2713.860203,3074.060215,2109.320122,3473.860199,2369.840168,2662.000164,3699.000275,8084.220474,3378.340225
6_Dulcitol (i.e. Galactitol),0.429916345,9.775585003,40.88366901,1.62E-10,3.86E-08,183.1 -> 57,pos1,2453.196841,1815.466801,3720.320271,1444.680099,1860.980133,1633.740135,2096.320129,2117.940186,1714.840118,1850.180134,4397.060345,2225.980145,1818.86013,1620.280106,2831.12019
4_Creatine,0.34978485,9.471824369,26.80632431,2.25E-07,4.03E-05,132.1 -> 87.1,pos1,2077.026819,1624.550116,1535.140114,1407.340099,2415.540165,1432.140106,2075.760178,1468.880112,1437.220108,1363.440094,2413.100185,1894.040112,2319.860153,2181.460175,1800.680126
5_Asparagine,-0.31526667,9.323749087,21.43082328,3.67E-06,5.26E-04,133.1 -> 74,pos2,1373.583435,1703.283457,2975.380211,1697.720108,1394.740097,1855.640137,1354.820103,1927.720142,1213.180088,1657.580116,1692.340115,1840.600143,1337.000114,1240.440094,1249.420094
5_2-isopropylmalate; 6_2-Isopropylmalic acid,0.295093516,10.53118521,19.95235522,7.94E-06,9.49E-04,177.1 -> 95,pos2,2053.240145,2222.670163,1257.800095,1991.760139,1815.800133,1826.760132,1881.060131,3775.980274,2324.940166,2275.320187,1827.980133,1695.900108,2600.780159,1770.30014,1868.88015
5_2-isopropylmalate; 6_2-Isopropylmalic acid,0.295093516,10.53118521,19.95235522,7.94E-06,9.49E-04,177.1 -> 95,pos1,4250.9603,3452.803572,3279.780251,3302.980206,4572.720337,2980.860218,4002.220268,3881.120274,3667.080254,4011.220268,5853.040443,3339.66024,3451.060246,3200.980225,3959.640255
4_Inosine,0.275162674,9.689556079,16.75212708,4.26E-05,0.004362892,269.1 -> 137,pos1,2265.793491,1866.130135,2834.960194,1676.300114,2425.620159,2140.000164,2173.620159,2077.020168,2337.840176,1830.780136,2092.700142,1683.680111,2464.220181,1789.000118,2100.760128
3_Alanine,-0.253376285,10.41007584,14.62256026,1.31E-04,0.010316513,90 -> 45,pos1,3042.056882,3615.886934,5599.000481,3868.080307,2754.360191,3090.020222,2771.440189,2374.600174,2447.54018,2966.220211,2726.800194,2776.900223,4341.120296,6619.500469,3211.080238
3_Creatine,0.251128652,10.48681481,14.45059466,1.44E-04,0.010316513,132.1 -> 90.1,pos1,4142.996928,3469.276916,2317.140156,4732.560356,3168.940197,3157.640179,4600.90028,2596.500191,2529.860161,3700.160294,3417.900227,3358.360256,7637.740421,3270.44022,3502.640282
4_L-Tyrosine,-0.255770923,10.16985697,14.61729517,1.32E-04,0.010316513,182.1 -> 165.1,pos1,2162.770144,2572.416853,10221.64074,3008.060246,3401.580208,2437.66016,2166.580154,2929.100208,2419.620155,1910.000141,1674.760109,3102.220207,1917.060135,2047.460155,1397.020103
5_L-Tryptophan,-0.228742977,11.23000896,12.12343707,4.98E-04,0.032455361,205.1 -> 146.1,pos1,4733.860332,5529.147067,18973.28132,5458.280403,4514.360298,5820.060448,5121.380394,5152.420353,5309.640358,5464.040306,4598.360275,5516.440445,4746.780365,5763.64045,4112.640301
