lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
5_D-Mannitol,-4.321893083,13.93456559,460.3658086,4.00E-102,2.87E-99,183.1 -> 98,pos1,10641.49275,213986.2508,9229.62067,344947.2844,12543.56095,20529.28136,4504.06031,371387.6862,4603.920296,22630.62168,5491.520401,310436.3805,26064.40179
6_Dulcitol (i.e. Galactitol),-3.367406013,11.14191947,304.7499726,3.04E-68,1.09E-65,183.1 -> 57,pos1,2817.448205,29291.84195,2745.340168,48706.32327,2958.520214,5287.120384,1620.520103,45840.6429,1716.400124,3899.600281,2567.760197,42725.52291,5224.040386
3_Diphenylamine,-1.538983159,13.14629241,73.3519481,1.08E-17,2.34E-15,170.1 -> 93.1,pos2,33545.80194,97331.50669,1691.300121,178311.0715,9121.760689,92810.02741,1594.040131,91918.84624,1610.560123,67255.28488,1429.340107,56362.30338,153973.3087
4_Diphenylamine,-1.535159881,12.46377633,72.98280119,1.31E-17,2.34E-15,170.1 -> 92.1,pos2,20927.32906,60564.09217,1289.28009,106732.1876,5227.300335,56623.58391,1565.120102,60450.48385,1594.920105,41574.88276,1212.360085,37439.32272,95036.94469
4_Sucrose,-1.196422813,10.25271144,44.97265302,2.00E-11,2.87E-09,365.1 -> 203.1,pos1,5145.588342,11834.05678,3140.780231,18261.1811,3613.340263,15872.66113,3233.500259,10008.38058,2761.160175,7284.96048,2052.460155,7743.100601,14067.48086
4_DL-Homoserine; 4_L-Threonine,-0.786349882,11.04080892,19.76324446,8.77E-06,0.001047443,120.1 -> 74.1,pos2,15432.49705,21983.37357,1821.820126,20371.90129,13206.92086,22565.28156,15973.36113,23926.88184,11320.9208,21403.78145,9428.500645,21649.02173,27232.78183
4_DL-Homoserine; 4_L-Threonine,-0.786349882,11.04080892,19.76324446,8.77E-06,0.001047443,120.1 -> 74.1,pos1,10939.12476,19024.71737,1923.040154,22411.82175,9047.740562,13244.10088,9336.260639,20912.02156,10920.60087,14575.161,13038.90091,23980.48169,12352.12081
5_Sucrose,-0.748210223,10.18494352,17.8856337,2.35E-05,0.002402824,365.1 -> 185,pos1,6069.73243,10251.28475,2303.040165,12724.28085,5526.28038,13523.58107,5710.340385,9452.700737,5935.72036,8462.440559,2105.640144,7093.420525,11070.68088
6_L-Tyrosine,-0.740726637,10.95820229,17.55863064,2.79E-05,0.002496804,182.1 -> 136.1,pos1,10556.40074,17783.98935,1596.160114,18185.54146,8434.560581,14363.02094,9240.020725,21153.84172,8674.98074,15070.16119,13249.72082,20147.38145,13182.72086
5_D-Erythrose 4-phosphate,-0.675877993,11.14158436,14.64855981,1.30E-04,0.010319509,201 -> 81,pos2,12286.27689,19746.53342,2609.180183,18591.06133,15820.26111,20852.66139,12147.50084,18517.14123,13214.16105,19464.82155,2856.240192,21306.9816,17393.22127
5_2-isopropylmalate; 6_2-Isopropylmalic acid,-0.666333032,9.183706843,14.16598324,1.67E-04,0.01200037,177.1 -> 95,pos2,1523.084101,1852.712132,1438.060101,1964.860134,1496.780106,1829.920132,1498.080093,2096.620155,1549.000092,1880.30014,1357.980095,1491.860096,1713.58012
5_2-isopropylmalate; 6_2-Isopropylmalic acid,-0.666333032,9.183706843,14.16598324,1.67E-04,0.01200037,177.1 -> 95,pos1,3002.976207,4805.048331,2799.300209,6067.440441,2825.440182,3287.160259,2799.960201,6238.020416,2913.700211,3199.020214,2814.64019,5233.600327,3661.140251
