class and lipid,type,lipid,fold change_1hr,fold change_12hr,fold change_24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N4_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
Acyl Carnities > (11Z)-eicoseneoylcarnitine,Acyl Carnities,(11Z)-eicoseneoylcarnitine,0.939524416,0.922194218,0.808062568,5.194511929,5.112830363,4.82716529,4.88381506,4.790594509,5.135653713,5.174493918,4.791397874,4.815319116,4.755250269,5.166365128,5.289568158,4.776092341,4.80710258,4.804203134,4.778195432,4.865480665,5.090634073,5.209733907,4.826855731,4.773749186,4.723937347,5.181199128,5.068665357,4.765219312,4.803173124,4.780827395,4.645084362,5.117250572,4.894944258,4.778967132,4.762979721,4.760128359,4.1927999
"Acyl Carnities > (11Z,14Z)-eicosadienoylcarnitine",Acyl Carnities,"(11Z,14Z)-eicosadienoylcarnitine",0.949996922,0.982914396,0.891039858,4.491349397,4.446151816,4.511961156,4.521838177,4.526999039,4.498437405,4.471433743,4.515874936,4.470186996,4.472565174,4.456720339,4.372054009,4.400814909,4.460963688,4.454259951,4.495164579,4.4118762,4.443716327,4.381560194,4.401054721,4.404948291,4.538423445,4.442234204,4.460438392,4.449562658,4.3736306,4.373071003,4.356804625,4.525837251,4.349673391,4.451471758,4.384127545,4.319366379,3.950533314
"Acyl Carnities > (13Z,16Z)-docosadienoylcarnitine",Acyl Carnities,"(13Z,16Z)-docosadienoylcarnitine",0.929304036,0.996569707,0.953691764,4.308762023,4.264913199,4.289325824,4.327401065,4.3069399,4.301611593,4.26939248,4.284263329,4.27187322,4.250770744,4.253284715,4.257324307,4.22944329,4.253530907,4.268155202,4.256315518,4.249124491,4.28032066,4.211170785,4.242439085,4.17912076,4.327043296,4.263655033,4.218415785,4.21186779,4.184854363,4.173875377,4.172138065,4.340398535,4.191921974,4.25382102,4.191297311,4.178238338,3.77895687
"Acyl Carnities > (5Z,8Z)-3-hydroxytetradecadienoylcarnitine",Acyl Carnities,"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",1.038682395,1.339930109,0.963368678,4.762071657,4.766179009,4.751040207,4.720065185,4.741143276,4.817897769,4.768465416,4.810541284,4.726729031,4.733000895,4.760943351,4.986230396,4.646223729,4.786715545,4.975263511,4.811206267,5.020888364,4.867785731,4.995058238,5.060660254,5.01629419,4.817833298,4.717623941,4.719300983,4.577388418,4.819597656,4.697179488,4.612890013,4.768397613,4.558563173,4.837824739,4.792093773,4.670268524,4.222328845
"Acyl Carnities > (5Z,8Z)-tetradecadienoylcarnitine",Acyl Carnities,"(5Z,8Z)-tetradecadienoylcarnitine",1.009229284,1.080173982,0.951643922,4.366907633,4.320991226,4.325340381,4.335492434,4.323454273,4.375741173,4.345488647,4.3718242,4.349540969,4.285027762,4.288657865,4.374791621,4.260512171,4.329169208,4.309071645,4.292883163,4.384498959,4.29060175,4.347099269,4.380645711,4.355556903,4.301760766,4.341759711,4.234283906,4.255657436,4.281273899,4.275694129,4.165146978,4.354722968,4.194181241,4.283437409,4.284355401,4.290935704,3.917908664
"Acyl Carnities > (7Z,10Z)-hexadecadienoylcarnitine",Acyl Carnities,"(7Z,10Z)-hexadecadienoylcarnitine",0.994523597,0.943797569,0.829683339,6.482652533,6.421404758,6.029075845,6.119612673,5.984567846,6.466786032,6.490243761,6.026786805,6.028258105,5.996689973,6.465071584,6.644727535,6.03424574,6.026948906,6.07818017,5.994324954,6.136109554,6.404325005,6.568620689,6.117433227,6.094393353,5.863061853,6.48387862,6.376733294,5.996473844,6.056937985,6.07463435,5.802195382,6.441376202,6.196367438,6.035658056,6.05272651,6.051171182,5.091835045
"Acyl Carnities > (7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",Acyl Carnities,"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.95111633,1.095435152,0.879473691,4.354648122,4.324123147,4.348811731,4.384786629,4.378952527,4.381113671,4.29842646,4.3664779,4.363190672,4.30968725,4.321530114,4.286346905,4.240589715,4.319950944,4.324786883,4.347138719,4.322477758,4.365064373,4.287347526,4.338120115,4.342880456,4.415389101,4.352248169,4.283727654,4.309486263,4.319979631,4.303802814,4.256289044,4.355804668,4.228975473,4.331092719,4.29099171,4.264499568,3.889363373
Acyl Carnities > (9Z)-3-hydroxyoctadecenoylcarnitine,Acyl Carnities,(9Z)-3-hydroxyoctadecenoylcarnitine,0.955468853,0.956471149,0.82738099,5.024509667,4.970597553,4.717153401,4.763867186,4.694062683,4.996880697,5.014823797,4.7137059,4.704584452,4.644633763,5.002624604,5.103404562,4.670319931,4.698017543,4.70439389,4.659082381,4.714128864,4.942011362,5.039156431,4.693534758,4.697666937,4.704027282,5.014138355,4.920047974,4.660735961,4.673508438,4.685276244,4.608529061,4.974334838,4.769071914,4.666192167,4.664539527,4.679111451,4.086941143
"Acyl Carnities > (9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",Acyl Carnities,"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",1.027159721,1.302976089,0.977023482,4.626189036,4.639105053,4.64832471,4.607515742,4.636403062,4.689417587,4.671690569,4.681191863,4.607541903,4.59863714,4.647032687,4.869368476,4.538227295,4.649230295,4.847651891,4.694827672,4.895229034,4.754574935,4.86669146,4.896552039,4.90796122,4.656684183,4.617054499,4.573151394,4.499379701,4.655088115,4.564228503,4.468648903,4.660862097,4.468195181,4.704716305,4.643301465,4.523102639,4.141099093
"Acyl Carnities > (9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",Acyl Carnities,"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.955499548,0.964252271,0.930486698,4.498442367,4.520089837,4.485087723,4.517372773,4.536865404,4.493049947,4.500514234,4.512694028,4.522357129,4.470692414,4.437152631,4.404921284,4.402566428,4.447482112,4.456800447,4.489516962,4.431456758,4.437626628,4.399186586,4.399695895,4.379981759,4.48933487,4.412327161,4.444075133,4.431241855,4.349993214,4.359230115,4.340970929,4.521134452,4.34855099,4.456001468,4.359348601,4.348884863,3.936658511
"Acyl Carnities > 12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",Acyl Carnities,"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.956140368,1.137716103,0.864996752,4.445397153,4.416446812,4.415811094,4.453540968,4.428958232,4.418344087,4.404889142,4.445145728,4.450157344,4.381462049,4.453762531,4.44861763,4.310595641,4.398322398,4.408180276,4.402148571,4.484898071,4.457307432,4.39115082,4.482801891,4.46617727,4.481871581,4.474395514,4.387567809,4.380541573,4.419682898,4.44322921,4.358239159,4.451735515,4.285213368,4.415973776,4.422333421,4.410757702,3.938983825
"Acyl Carnities > 2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",Acyl Carnities,"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.787615966,0.644960134,0.560236924,5.367228291,5.31527583,5.256901555,5.307548396,5.376864879,5.251492783,5.195067308,5.332827606,5.168934184,5.186827919,5.294605123,4.907577875,5.132506715,5.288137381,4.97775783,5.324138216,4.919868344,4.988763156,4.878814244,4.954962197,4.859293156,5.226144011,5.236060014,5.375703869,5.263502026,5.17063977,5.133465484,5.434141903,5.109177846,5.227898508,4.95590973,5.044642318,5.064141093,4.509650864
Acyl Carnities > 3-hydroxyarachidonoylcarnitine,Acyl Carnities,3-hydroxyarachidonoylcarnitine,0.967730837,0.994216785,0.900561281,4.286148744,4.259694228,4.246612342,4.27273022,4.266365806,4.246049312,4.300391578,4.296750319,4.247476398,4.201999286,4.246316881,4.226648905,4.141980044,4.227261313,4.231223857,4.24677722,4.210361364,4.245230809,4.158293151,4.199272938,4.234675211,4.255975523,4.276468268,4.274803297,4.137685115,4.183412243,4.223233187,4.166841447,4.301454124,4.123692292,4.220953385,4.208792765,4.204902123,3.810706922
"Acyl Carnities > 3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",Acyl Carnities,"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",0.962103506,1.034583691,0.881095406,4.538278355,4.519813328,4.459095349,4.45014964,4.471801152,4.541724515,4.49160094,4.468370997,4.446231403,4.447335157,4.529730076,4.477103916,4.405114753,4.407239288,4.444137301,4.438995263,4.440715212,4.510342587,4.483725369,4.433839282,4.430265735,4.491034622,4.514712704,4.499012607,4.403801156,4.400459617,4.395066641,4.426081011,4.543022773,4.367494978,4.417628138,4.429488097,4.426957066,3.959218923
"Acyl Carnities > 3-hydroxylinoleoylcarnitine,",Acyl Carnities,"3-hydroxylinoleoylcarnitine,",0.98372897,0.924193082,0.806605501,6.493319074,6.43582725,6.004367109,6.088231121,5.979896469,6.474036579,6.504940063,5.994114652,5.995146415,5.952991379,6.47755876,6.627414074,5.98993426,6.015388988,6.036466374,5.97437139,6.077701899,6.413994081,6.559121318,6.052116462,6.018522404,5.857267716,6.492067758,6.37683605,5.975800865,6.028578735,6.034634599,5.81542643,6.451158056,6.199724069,5.975921724,5.993548404,6.004118011,5.051226665
"Acyl Carnities > 3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",Acyl Carnities,"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",1.106310336,1.063838,0.893686747,4.534141174,4.555533877,4.546160547,4.559602903,4.486450346,4.630516583,4.546886045,4.625518054,4.585460309,4.550008855,4.574623155,4.632592551,4.558167673,4.523027107,4.540885596,4.579515422,4.637797462,4.47994283,4.52907269,4.663935278,4.712410465,4.51724952,4.576587371,4.548422372,4.452144496,4.559916465,4.58580197,4.404043776,4.575735252,4.390927369,4.506021794,4.577638412,4.56379379,4.07448441
"Acyl Carnities > Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",Acyl Carnities,"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",0.948274901,1.050979557,0.872319866,4.402104866,4.39600189,4.366013717,4.375897642,4.380594365,4.42769058,4.386305616,4.375522087,4.332055334,4.315486721,4.436961806,4.424500432,4.281690484,4.32962161,4.301857439,4.295956172,4.34364176,4.389681644,4.392493678,4.360334763,4.360263902,4.373595696,4.417097888,4.385804643,4.306958751,4.322414506,4.3357487,4.28980073,4.424287289,4.280714039,4.331130006,4.329533772,4.315698805,3.851588562
Acyl Carnities > cis-5-Tetradecenoylcarnitine,Acyl Carnities,cis-5-Tetradecenoylcarnitine,1.091720263,1.210841301,1.046840351,4.717890623,4.689967737,4.752930317,4.730546527,4.725235697,4.81666335,4.721446909,4.782097825,4.790755554,4.731182188,4.674912587,4.910112687,4.666274591,4.728389206,4.890249197,4.73945465,5.000965263,4.721916942,4.816672494,4.938428986,4.900892145,4.730192624,4.722395029,4.630286914,4.577782183,4.743495055,4.769887872,4.542692286,4.772722249,4.52795688,4.884367906,4.771731812,4.704153808,4.226308591
"Acyl Carnities > Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",Acyl Carnities,"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",0.977830929,1.080742287,0.879274639,4.411995963,4.405359714,4.420843279,4.442288478,4.471843354,4.436009293,4.418552543,4.424382431,4.451634817,4.415110995,4.462225773,4.356231698,4.331973649,4.408067262,4.374307263,4.426808853,4.417248125,4.450942221,4.375585008,4.414579998,4.39421699,4.505231977,4.434096063,4.406468335,4.400498994,4.391994513,4.395493817,4.358672169,4.482601235,4.319844907,4.405280809,4.380796094,4.364033692,3.932235275
